,year,sitename,violence score,All Ages in Poverty Percent,Under Age 18 in Poverty Percent,Median Household Income in Dollars,Unemployment Rate,Population,SNAP($/Person)
99,2017,"Borough of Staten Island, NY (NYK)",34.29266192567987,11.9,16.8,"$78,466 ",3.9,"475,671",135.63
100,2017,"Broward County, FL (FT)",24.75373854575504,13.1,18.0,"$56,702 ",3.6,"1,934,516",125.09
101,2017,"Chicago, IL (CH)",32.476222155977574,14.6,20.5,"$61,401 ",4.6,"5,200,821",129.99
102,2017,"Los Angeles, CA (LO)",24.340452692630205,14.9,20.9,"$64,912 ",4.4,"10,103,711",136.44
103,2017,"Miami-Dade County, FL (MM)",27.851245008678486,16.7,22.0,"$49,758 ",5.0,"2,713,295",125.09
104,2017,"Orange County, FL (OL)",32.33132475155805,15.3,21.9,"$54,021 ",3.4,"1,355,921",125.09
105,2017,"Palm Beach County, FL (PB)",30.354110085007253,11.8,16.8,"$60,059 ",3.7,"1,470,344",125.09
106,2017,"Philadelphia, PA (PH)",32.818276527919636,25.3,31.9,"$40,193 ",5.8,"1,580,601",120.88
107,2017,"San Diego, CA (SA)",19.513148919324834,11.9,15.7,"$76,048 ",3.4,"3,321,237",136.44
108,2017,"San Francisco, CA (SF)",25.41639881214942,10.1,12.3,"$109,601 ",2.5,"878,040",136.44
109,2019,"Borough of Bronx, NY (NYG)",41.58955050089158,26.2,36.5,"$41,470 ",4.2,"1,418,207",160.46
110,2019,"Borough of Brooklyn, NY (NYH)",36.54161818113331,17.7,24.7,"$66,501 ",3.1,"2,559,903",160.46
111,2019,"Borough of Manhattan, NY (NYI)",32.24133738256659,14.1,17.3,"$93,007 ",2.7,"1,628,706",160.46
112,2019,"Borough of Queens, NY (NYJ)",36.008168325968796,11.0,14.4,"$72,975 ",2.6,"2,253,858",160.46
113,2019,"Borough of Staten Island, NY (NYK)",48.73417486569052,9.1,13.9,"$86,624 ",2.9,"476,143",160.46
114,2019,"Broward County, FL (FT)",24.807863235210704,12.3,16.4,"$61,429 ",2.9,"1,952,778",157.56
115,2019,"Chicago, IL (CH)",29.250645036245608,13.0,18.2,"$69,375 ",3.2,"5,150,233",150.34
116,2019,"Los Angeles, CA (LO)",30.084936959668553,13.4,18.3,"$72,721 ",4.3,"10,039,107",151.1
117,2019,"Orange County, FL (OL)",27.28203751039304,12.6,17.9,"$63,133 ",2.8,"1,393,452",157.56
118,2019,"Palm Beach County, FL (PB)",32.43381086661916,11.4,16.0,"$66,621 ",3.1,"1,496,770",157.56
119,2019,"Philadelphia, PA (PH)",31.913575302232626,23.0,31.6,"$47,598 ",5.3,"1,584,064",150.88
120,2019,"San Diego, CA (SA)",17.112530228868298,10.3,12.8,"$83,576 ",3.0,"3,338,330",151.1
121,2019,"San Francisco, CA (SF)",26.35750277394319,9.5,9.3,"$121,795 ",2.0,"881,549",151.1
